Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group,Keyword,Type,Final URL
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,photographer in cascais,Broad match,https://photoportugal.com/photographers?location=cascais
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,cascais photoshoot,Broad match,https://photoportugal.com/photographers?location=cascais
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,cascais photo session,Broad match,https://photoportugal.com/photographers?location=cascais
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,couples photoshoot cascais,Broad match,https://photoportugal.com/photographers?location=cascais
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,family photographer cascais,Broad match,https://photoportugal.com/photographers?location=cascais
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,beach photoshoot cascais,Broad match,https://photoportugal.com/photographers?location=cascais
Keyword,Add,Enabled,23690057178,Campaign #1,Cascais Photographers,wedding photographer cascais,Broad match,https://photoportugal.com/photographers?location=cascais
