Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group,Ad group type,Default max. CPC
Ad group,Add,Enabled,23690057178,Campaign #1,Lisbon Photographers,Standard,2.50
Ad group,Add,Enabled,23690057178,Campaign #1,Porto Photographers,Standard,2.50
Ad group,Add,Enabled,23690057178,Campaign #1,Algarve Photographers,Standard,2.50
Ad group,Add,Enabled,23690057178,Campaign #1,Sintra Photographers,Standard,2.00
Ad group,Add,Enabled,23690057178,Campaign #1,Portugal General,Standard,2.00
Ad group,Edit,Paused,23690057178,Campaign #1,Ad group 1,,
